dataset,repetition,seed,model,train_rows,ngram_range,min_df,C,affect_weight,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall,mean_probability_misleading,median_probability_misleading,std_probability_misleading
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset_non_sentiment,hard_case,non_sentiment,70,18,52,0.2571428571428571,0.3588988166984742,0.32055588159862847,0.2000371886246276
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset,main,all,1000,320,680,0.32,0.4107380057439485,0.3936392750863915,0.18651800496503437
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset_non_sentiment,main,non_sentiment,847,272,575,0.32113341204250295,0.4106992747715982,0.39024298340133873,0.18683008087764388
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,category,all,causal,231,88,143,0.38095238095238093,0.43181121718087906,0.4216542465935119,0.18933458869429096
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,category,all,flipping,313,104,209,0.33226837060702874,0.4147223731196305,0.3839617043240391,0.18752752986281054
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,category,all,numerical,373,98,275,0.26273458445040215,0.3845273698262988,0.36772585024871723,0.18598598046377335
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,category,all,sentiment,206,57,149,0.2766990291262136,0.39576518489490436,0.3859564202446566,0.1819699863204881
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset_category,hard_case,causal,43,16,27,0.37209302325581395,0.41665657479316615,0.406098064296485,0.20883778759416316
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset_category,hard_case,flipping,7,2,5,0.2857142857142857,0.4020711444243337,0.45616318371646003,0.1588896583166889
liar2_finance,4,44,emotion_aware,2048,1-2,1,10.0,0.1,subset_category,hard_case,numerical,20,0,20,0.0,0.21960932209083545,0.21138558555933074,0.10110068051037757
