dataset,repetition,seed,fold,model,train_rows,test_rows,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,8,88,4,text_only,1638,410,0.7073170731707317,0.7073170731707317,0.7135678391959799,0.6926829268292682,0.7029702970297029,0.7072543792840822
liar2_finance,8,88,4,emotion_aware,1638,410,0.7024390243902439,0.7024390243902439,0.7106598984771574,0.6829268292682927,0.6965174129353234,0.7023256921135947
liar2_finance,8,88,5,text_only,1640,408,0.6642156862745098,0.6642156862745098,0.6650246305418719,0.6617647058823529,0.6633906633906634,0.6642136691036447
liar2_finance,8,88,5,emotion_aware,1640,408,0.6593137254901961,0.6593137254901961,0.6570048309178744,0.6666666666666666,0.6618004866180048,0.6592953050373975
liar2_finance,9,99,1,text_only,1638,410,0.6268292682926829,0.6268292682926829,0.63,0.6146341463414634,0.6222222222222222,0.6267737617135207
liar2_finance,9,99,1,emotion_aware,1638,410,0.6414634146341464,0.6414634146341464,0.6435643564356436,0.6341463414634146,0.6388206388206388,0.641444217715404
liar2_finance,9,99,2,text_only,1638,410,0.6609756097560976,0.6609756097560976,0.6683673469387755,0.6390243902439025,0.6533665835411472,0.6608121700521965
liar2_finance,9,99,2,emotion_aware,1638,410,0.6609756097560976,0.6609756097560975,0.6774193548387096,0.6146341463414634,0.6445012787723785,0.6602459773815272
liar2_finance,9,99,3,text_only,1638,410,0.6463414634146342,0.6463414634146342,0.6428571428571429,0.6585365853658537,0.6506024096385542,0.6462888591402647
liar2_finance,9,99,3,emotion_aware,1638,410,0.6658536585365854,0.6658536585365854,0.6666666666666666,0.6634146341463415,0.6650366748166259,0.6658516707416462
liar2_finance,9,99,4,text_only,1638,410,0.6829268292682927,0.6829268292682926,0.6777251184834123,0.697560975609756,0.6875,0.6828589108910892
liar2_finance,9,99,4,emotion_aware,1638,410,0.6634146341463415,0.6634146341463415,0.6650246305418719,0.6585365853658537,0.6617647058823529,0.6634066247858367
liar2_finance,9,99,5,text_only,1640,408,0.6593137254901961,0.6593137254901961,0.6600985221674877,0.6568627450980392,0.6584766584766585,0.6593116788715812
liar2_finance,9,99,5,emotion_aware,1640,408,0.6666666666666666,0.6666666666666666,0.6789473684210526,0.6323529411764706,0.6548223350253807,0.6662737267543966
liar2_finance,10,110,1,text_only,1638,410,0.6560975609756098,0.6560975609756097,0.6454545454545455,0.6926829268292682,0.668235294117647,0.6556366344005957
liar2_finance,10,110,1,emotion_aware,1638,410,0.6341463414634146,0.6341463414634146,0.6303317535545023,0.6487804878048781,0.6394230769230769,0.6340679741051027
liar2_finance,10,110,2,text_only,1638,410,0.6414634146341464,0.6414634146341464,0.6421568627450981,0.6390243902439025,0.6405867970660146,0.6414612817446861
liar2_finance,10,110,2,emotion_aware,1638,410,0.6853658536585366,0.6853658536585365,0.6881188118811881,0.6780487804878049,0.683046683046683,0.6853490073829056
liar2_finance,10,110,3,text_only,1638,410,0.6634146341463415,0.6634146341463415,0.6602870813397129,0.6731707317073171,0.6666666666666666,0.6633825944170771
liar2_finance,10,110,3,emotion_aware,1638,410,0.675609756097561,0.6756097560975609,0.6836734693877551,0.6536585365853659,0.6683291770573566,0.6754533713449073
liar2_finance,10,110,4,text_only,1638,410,0.6707317073170732,0.6707317073170731,0.6966292134831461,0.6048780487804878,0.6475195822454308,0.6692975485597863
liar2_finance,10,110,4,emotion_aware,1638,410,0.6365853658536585,0.6365853658536585,0.6473684210526316,0.6,0.6227848101265823,0.6360982874162323
