dataset,repetition,seed,model,scope,subset,manipulation_category,rows,misleading_recall,mean_probability_misleading
liar2_finance,10,110,text_only,overall,all,all,1123,0.20302760463045413,0.3147615773681276
liar2_finance,10,110,text_only,overall_non_sentiment,all,non_sentiment,917,0.23227917121046893,0.33260292837735483
liar2_finance,10,110,text_only,subset,hard_case,all,123,0.0975609756097561,0.2639417478102979
liar2_finance,10,110,text_only,subset,main,all,1000,0.216,0.3210124164037406
liar2_finance,10,110,text_only,category,all,causal,231,0.08225108225108226,0.2399503993862248
liar2_finance,10,110,text_only,category,all,flipping,313,0.36741214057507987,0.41830778999117235
liar2_finance,10,110,text_only,category,all,numerical,373,0.21179624664879357,0.31806435602300126
liar2_finance,10,110,text_only,category,all,sentiment,206,0.07281553398058252,0.23534158282705303
liar2_finance,10,110,emotion_aware,overall,all,all,1123,0.2867319679430098,0.3508081982975439
liar2_finance,10,110,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.3282442748091603,0.3793767776458058
liar2_finance,10,110,emotion_aware,subset,hard_case,all,123,0.17073170731707318,0.2725429382568937
liar2_finance,10,110,emotion_aware,subset,main,all,1000,0.301,0.3604348252825439
liar2_finance,10,110,emotion_aware,category,all,causal,231,0.14285714285714285,0.24943092739556258
liar2_finance,10,110,emotion_aware,category,all,flipping,313,0.5207667731629393,0.5049607799932979
liar2_finance,10,110,emotion_aware,category,all,numerical,373,0.28150134048257375,0.35446980357889196
liar2_finance,10,110,emotion_aware,category,all,sentiment,206,0.10194174757281553,0.22363641547057236
factors_finance,1,11,text_only,overall,all,all,1123,0.5627782724844167,0.5103947322281577
factors_finance,1,11,text_only,overall_non_sentiment,all,non_sentiment,917,0.5343511450381679,0.5057112774126142
factors_finance,1,11,text_only,subset,hard_case,all,123,0.5853658536585366,0.5121791442719902
factors_finance,1,11,text_only,subset,main,all,1000,0.56,0.5101752495467663
factors_finance,1,11,text_only,category,all,causal,231,0.5108225108225108,0.5017958711752127
factors_finance,1,11,text_only,category,all,flipping,313,0.3226837060702875,0.4615210865061885
factors_finance,1,11,text_only,category,all,numerical,373,0.7265415549597856,0.5452179492478716
factors_finance,1,11,text_only,category,all,sentiment,206,0.6893203883495146,0.5312429267225913
factors_finance,1,11,emotion_aware,overall,all,all,1123,0.5903829029385574,0.5397233669733162
factors_finance,1,11,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.5517993456924755,0.5129546181724337
factors_finance,1,11,emotion_aware,subset,hard_case,all,123,0.6260162601626016,0.5540504769338825
factors_finance,1,11,emotion_aware,subset,main,all,1000,0.586,0.5379611324481666
factors_finance,1,11,emotion_aware,category,all,causal,231,0.658008658008658,0.5808324688215019
factors_finance,1,11,emotion_aware,category,all,flipping,313,0.23961661341853036,0.3276665097417923
factors_finance,1,11,emotion_aware,category,all,numerical,373,0.7479892761394102,0.6264007158637367
factors_finance,1,11,emotion_aware,category,all,sentiment,206,0.7621359223300971,0.6588832827520024
