dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,ngram_range,min_df,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
factors_finance,3,33,1,text_only,416,106,1-2,1,0.1,,0.5754716981132075,0.5754716981132075,0.58,0.5471698113207547,0.5631067961165048,0.5751313797096286
factors_finance,3,33,1,emotion_aware,416,106,1-2,2,1.0,1.0,0.5660377358490566,0.5660377358490566,0.5686274509803921,0.5471698113207547,0.5576923076923077,0.565883190883191
factors_finance,3,33,2,text_only,418,104,1-1,1,10.0,,0.6346153846153846,0.6346153846153846,0.6166666666666667,0.7115384615384616,0.6607142857142857,0.6324404761904762
factors_finance,3,33,2,emotion_aware,418,104,1-1,1,1.0,0.5,0.6057692307692307,0.6057692307692308,0.5932203389830508,0.6730769230769231,0.6306306306306306,0.6039751091297483
factors_finance,3,33,3,text_only,418,104,1-2,2,0.1,,0.5576923076923077,0.5576923076923077,0.5555555555555556,0.5769230769230769,0.5660377358490566,0.557528671846097
factors_finance,3,33,3,emotion_aware,418,104,1-1,1,10.0,1.0,0.5961538461538461,0.5961538461538461,0.5892857142857143,0.6346153846153846,0.6111111111111112,0.5955555555555556
factors_finance,3,33,4,text_only,418,104,1-1,2,1.0,,0.5769230769230769,0.5769230769230769,0.5833333333333334,0.5384615384615384,0.56,0.5762962962962963
factors_finance,3,33,4,emotion_aware,418,104,1-1,1,0.1,0.05,0.6057692307692307,0.6057692307692308,0.6170212765957447,0.5576923076923077,0.5858585858585859,0.6048558984338801
factors_finance,3,33,5,text_only,418,104,1-1,2,0.1,,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539,0.6538461538461539
factors_finance,3,33,5,emotion_aware,418,104,1-2,1,10.0,0.5,0.6826923076923077,0.6826923076923077,0.6938775510204082,0.6538461538461539,0.6732673267326733,0.6824280558897011
factors_finance,4,44,1,text_only,416,106,1-2,1,10.0,,0.6509433962264151,0.6509433962264151,0.6481481481481481,0.660377358490566,0.6542056074766355,0.6509123275478416
factors_finance,4,44,1,emotion_aware,416,106,1-2,1,10.0,0.5,0.660377358490566,0.660377358490566,0.6666666666666666,0.6415094339622641,0.6538461538461539,0.6602564102564102
factors_finance,4,44,2,text_only,418,104,1-2,1,0.1,,0.625,0.625,0.6140350877192983,0.6730769230769231,0.6422018348623854,0.6241312204614957
factors_finance,4,44,2,emotion_aware,418,104,1-2,1,10.0,0.25,0.6153846153846154,0.6153846153846154,0.6071428571428571,0.6538461538461539,0.6296296296296297,0.6148148148148148
factors_finance,4,44,3,text_only,418,104,1-1,2,1.0,,0.5961538461538461,0.5961538461538463,0.5833333333333334,0.6730769230769231,0.625,0.59375
factors_finance,4,44,3,emotion_aware,418,104,1-2,1,1.0,0.25,0.6538461538461539,0.6538461538461539,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.6533333333333333
factors_finance,4,44,4,text_only,418,104,1-1,1,1.0,,0.5961538461538461,0.5961538461538461,0.6086956521739131,0.5384615384615384,0.5714285714285714,0.5948051948051948
factors_finance,4,44,4,emotion_aware,418,104,1-1,1,10.0,1.0,0.625,0.625,0.6326530612244898,0.5961538461538461,0.6138613861386139,0.6246877024151013
factors_finance,4,44,5,text_only,418,104,1-1,2,0.1,,0.6442307692307693,0.6442307692307692,0.6595744680851063,0.5961538461538461,0.6262626262626263,0.6434065424891113
factors_finance,4,44,5,emotion_aware,418,104,1-2,1,10.0,0.1,0.6538461538461539,0.6538461538461537,0.6818181818181818,0.5769230769230769,0.625,0.6517857142857143
factors_finance,5,55,1,text_only,416,106,1-1,2,0.1,,0.5094339622641509,0.5094339622641509,0.509090909090909,0.5283018867924528,0.5185185185185185,0.5092592592592593
factors_finance,5,55,1,emotion_aware,416,106,1-2,1,10.0,0.1,0.5471698113207547,0.5471698113207547,0.5490196078431373,0.5283018867924528,0.5384615384615384,0.5470085470085471
factors_finance,5,55,2,text_only,418,104,1-1,2,1.0,,0.5288461538461539,0.5288461538461539,0.5294117647058824,0.5192307692307693,0.5242718446601942,0.5288025889967638
factors_finance,5,55,2,emotion_aware,418,104,1-2,2,1.0,0.1,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.5961538461538461
factors_finance,5,55,3,text_only,418,104,1-2,1,0.1,,0.6538461538461539,0.6538461538461537,0.6818181818181818,0.5769230769230769,0.625,0.6517857142857143
factors_finance,5,55,3,emotion_aware,418,104,1-1,2,0.1,0.1,0.625,0.625,0.6226415094339622,0.6346153846153846,0.6285714285714286,0.6249653259361997
factors_finance,5,55,4,text_only,418,104,1-2,1,0.1,,0.6826923076923077,0.6826923076923077,0.7435897435897436,0.5576923076923077,0.6373626373626373,0.6776556776556777
factors_finance,5,55,4,emotion_aware,418,104,1-2,1,1.0,0.05,0.6730769230769231,0.6730769230769231,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.6719851576994433
factors_finance,5,55,5,text_only,418,104,1-1,2,10.0,,0.6538461538461539,0.6538461538461539,0.6481481481481481,0.6730769230769231,0.660377358490566,0.6537180910099889
factors_finance,5,55,5,emotion_aware,418,104,1-2,2,0.1,0.05,0.625,0.625,0.6326530612244898,0.5961538461538461,0.6138613861386139,0.6246877024151013
factors_finance,6,66,1,text_only,416,106,1-2,1,0.1,,0.6415094339622641,0.6415094339622641,0.6470588235294118,0.6226415094339622,0.6346153846153846,0.6413817663817664
factors_finance,6,66,1,emotion_aware,416,106,1-1,2,1.0,0.5,0.6509433962264151,0.6509433962264151,0.6538461538461539,0.6415094339622641,0.6476190476190476,0.6509123275478416
factors_finance,6,66,2,text_only,418,104,1-2,1,10.0,,0.5769230769230769,0.5769230769230769,0.5689655172413793,0.6346153846153846,0.6,0.5755102040816327
