dataset,classifier,representation,C,affect_weight,model_variant,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,precision_mean,recall_mean,f1_mean,folds,rank_within_dataset
factors_finance,logistic_regression,word_char,10.0,1.0,emotion_aware,0.6306401341153886,0.028605962563789816,0.6315674891146589,0.028336770821433262,0.6315674891146589,0.6347702440719013,0.6247460087082729,0.62814622710308,15,15
factors_finance,linear_svm,word_char,1.0,0.0,text_only,0.630599579919306,0.03690348082510632,0.6315191098209966,0.036609282912498355,0.6315191098209966,0.6330077916091568,0.628471214320271,0.6291675615400002,15,16
factors_finance,logistic_regression,word_char,1.0,0.0,text_only,0.6303064323082375,0.04196575392872799,0.6314828253507498,0.04154772538530128,0.6314828253507498,0.6370473625320265,0.6182631833575231,0.6256220800166595,15,17
factors_finance,linear_svm,word_char,10.0,0.1,emotion_aware,0.6300372990128726,0.024561369539006776,0.6309506531204645,0.024457936217276086,0.6309506531204645,0.6336008506158533,0.6234155781325593,0.626920854205257,15,18
factors_finance,linear_svm,word_char,1.0,0.1,emotion_aware,0.6298504721909556,0.03299630598153036,0.6309143686502178,0.03278863862091721,0.6309143686502178,0.6350446077637665,0.6196178035800678,0.6255156412531357,15,19
factors_finance,linear_svm,word_char,0.1,0.25,emotion_aware,0.6298233804760967,0.03975037387016246,0.6314949201741655,0.03977698423249137,0.6314949201741655,0.6414093943738461,0.6055636187711659,0.620228676584347,15,20
factors_finance,logistic_regression,word,10.0,0.05,emotion_aware,0.6294651993892126,0.029303269953124635,0.6302249637155298,0.029234438112506877,0.6302249637155298,0.6331671984589867,0.6233430091920658,0.6268574067778657,15,21
factors_finance,linear_svm,word_char,1.0,0.25,emotion_aware,0.6292269543836979,0.028041089957947914,0.630273343009192,0.027791940591745088,0.630273343009192,0.6341985362160798,0.6196178035800678,0.6250907641887864,15,22
factors_finance,logistic_regression,word_char,10.0,0.0,text_only,0.6292127139438556,0.038753442439120676,0.630273343009192,0.03812191779217551,0.630273343009192,0.6334786546053911,0.6182873730043542,0.6241126646282731,15,23
factors_finance,linear_svm,word_char,0.1,0.0,text_only,0.6290349063692493,0.04230091816516083,0.6302128688921141,0.04180344119466971,0.6302128688921141,0.6358395560011514,0.6156990807934205,0.6237758606227289,15,24
