dataset,repetition,outer_seed,outer_fold,model,parameter_index,ngram_range,min_df,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,2,emotion_aware,49,1-2,2,0.1,0.5,0.606822952696739,0.6068376068376069,False
liar2_finance,1,11,2,emotion_aware,50,1-2,2,0.1,1.0,0.6054660293360974,0.6056166056166057,False
liar2_finance,1,11,2,emotion_aware,51,1-2,2,1.0,0.05,0.6550515985736453,0.6550671550671551,False
liar2_finance,1,11,2,emotion_aware,52,1-2,2,1.0,0.1,0.655045427013931,0.6550671550671551,False
liar2_finance,1,11,2,emotion_aware,53,1-2,2,1.0,0.25,0.6495392107017028,0.6495726495726495,False
liar2_finance,1,11,2,emotion_aware,54,1-2,2,1.0,0.5,0.6495094238339496,0.6495726495726495,False
liar2_finance,1,11,2,emotion_aware,55,1-2,2,1.0,1.0,0.6513354072577413,0.6514041514041513,False
liar2_finance,1,11,2,emotion_aware,56,1-2,2,10.0,0.05,0.6342870987280436,0.6343101343101343,False
liar2_finance,1,11,2,emotion_aware,57,1-2,2,10.0,0.1,0.6397783251231528,0.6398046398046398,False
liar2_finance,1,11,2,emotion_aware,58,1-2,2,10.0,0.25,0.6416135675348273,0.6416361416361416,False
liar2_finance,1,11,2,emotion_aware,59,1-2,2,10.0,0.5,0.6428410356912964,0.6428571428571428,False
liar2_finance,1,11,2,emotion_aware,60,1-2,2,10.0,1.0,0.6428410356912964,0.6428571428571428,False
liar2_finance,1,11,3,text_only,1,1-1,1,0.1,,0.6239226531692372,0.6239316239316239,False
liar2_finance,1,11,3,text_only,2,1-1,1,1.0,,0.6306161541274309,0.6306471306471306,False
liar2_finance,1,11,3,text_only,3,1-1,1,10.0,,0.6050059577874823,0.605006105006105,False
liar2_finance,1,11,3,text_only,4,1-1,2,0.1,,0.6306161541274309,0.6306471306471306,False
liar2_finance,1,11,3,text_only,5,1-1,2,1.0,,0.6220594128051201,0.6221001221001221,False
liar2_finance,1,11,3,text_only,6,1-1,2,10.0,,0.5976259587882728,0.5976800976800977,False
liar2_finance,1,11,3,text_only,7,1-2,1,0.1,,0.6395897136020741,0.6398046398046398,False
liar2_finance,1,11,3,text_only,8,1-2,1,1.0,,0.6426545660805445,0.6428571428571428,True
liar2_finance,1,11,3,text_only,9,1-2,1,10.0,,0.6378261380224501,0.6379731379731379,False
liar2_finance,1,11,3,text_only,10,1-2,2,0.1,,0.6391455867130034,0.6391941391941391,False
liar2_finance,1,11,3,text_only,11,1-2,2,1.0,,0.6403989231148266,0.6404151404151404,False
liar2_finance,1,11,3,text_only,12,1-2,2,10.0,,0.6202544667350492,0.6202686202686203,False
liar2_finance,1,11,3,emotion_aware,1,1-1,1,0.1,0.05,0.6385836385836385,0.6385836385836385,False
liar2_finance,1,11,3,emotion_aware,2,1-1,1,0.1,0.1,0.6355201320331291,0.6355311355311355,False
liar2_finance,1,11,3,emotion_aware,3,1-1,1,0.1,0.25,0.6153754407412653,0.6153846153846154,False
liar2_finance,1,11,3,emotion_aware,4,1-1,1,0.1,0.5,0.6190197879268599,0.6190476190476191,False
liar2_finance,1,11,3,emotion_aware,5,1-1,1,0.1,1.0,0.6170960960076475,0.6172161172161172,False
liar2_finance,1,11,3,emotion_aware,6,1-1,1,1.0,0.05,0.6379665262141748,0.6379731379731379,False
liar2_finance,1,11,3,emotion_aware,7,1-1,1,1.0,0.1,0.6379622082004113,0.6379731379731379,False
liar2_finance,1,11,3,emotion_aware,8,1-1,1,1.0,0.25,0.6446695739684669,0.6446886446886446,False
liar2_finance,1,11,3,emotion_aware,9,1-1,1,1.0,0.5,0.6471048676630208,0.647130647130647,False
liar2_finance,1,11,3,emotion_aware,10,1-1,1,1.0,1.0,0.6489463171324708,0.648962148962149,False
liar2_finance,1,11,3,emotion_aware,11,1-1,1,10.0,0.05,0.6147624846112302,0.6147741147741148,False
liar2_finance,1,11,3,emotion_aware,12,1-1,1,10.0,0.1,0.6166050450235554,0.6166056166056166,False
liar2_finance,1,11,3,emotion_aware,13,1-1,1,10.0,0.25,0.6196409662148337,0.6196581196581197,False
liar2_finance,1,11,3,emotion_aware,14,1-1,1,10.0,0.5,0.6220684287683962,0.6221001221001221,False
liar2_finance,1,11,3,emotion_aware,15,1-1,1,10.0,1.0,0.623297395517868,0.6233211233211233,False
liar2_finance,1,11,3,emotion_aware,16,1-1,2,0.1,0.05,0.6483495513278281,0.6483516483516484,False
liar2_finance,1,11,3,emotion_aware,17,1-1,2,0.1,0.1,0.6349010399194901,0.6349206349206349,False
liar2_finance,1,11,3,emotion_aware,18,1-1,2,0.1,0.25,0.6178260480648816,0.6178266178266179,False
liar2_finance,1,11,3,emotion_aware,19,1-1,2,0.1,0.5,0.6208620225030685,0.6208791208791209,False
liar2_finance,1,11,3,emotion_aware,20,1-1,2,0.1,1.0,0.6207907862269093,0.6208791208791209,False
liar2_finance,1,11,3,emotion_aware,21,1-1,2,1.0,0.05,0.6324737011592958,0.6324786324786325,False
liar2_finance,1,11,3,emotion_aware,22,1-1,2,1.0,0.1,0.6398041028087542,0.6398046398046398,False
liar2_finance,1,11,3,emotion_aware,23,1-1,2,1.0,0.25,0.650785320800006,0.6507936507936508,False
liar2_finance,1,11,3,emotion_aware,24,1-1,2,1.0,0.5,0.6538398319788147,0.6538461538461539,False
liar2_finance,1,11,3,emotion_aware,25,1-1,2,1.0,1.0,0.6532273814937122,0.6532356532356532,False
liar2_finance,1,11,3,emotion_aware,26,1-1,2,10.0,0.05,0.6037814119094945,0.6037851037851037,False
liar2_finance,1,11,3,emotion_aware,27,1-1,2,10.0,0.1,0.6080492586601466,0.6080586080586081,False
liar2_finance,1,11,3,emotion_aware,28,1-1,2,10.0,0.25,0.6104721549636803,0.6105006105006106,False
liar2_finance,1,11,3,emotion_aware,29,1-1,2,10.0,0.5,0.6104634432538091,0.6105006105006106,False
liar2_finance,1,11,3,emotion_aware,30,1-1,2,10.0,1.0,0.6098376140602524,0.6098901098901099,False
liar2_finance,1,11,3,emotion_aware,31,1-2,1,0.1,0.05,0.6384779998956104,0.6385836385836385,False
liar2_finance,1,11,3,emotion_aware,32,1-2,1,0.1,0.1,0.6165913265427828,0.6166056166056166,False
liar2_finance,1,11,3,emotion_aware,33,1-2,1,0.1,0.25,0.6025603993113727,0.6025641025641025,False
liar2_finance,1,11,3,emotion_aware,34,1-2,1,0.1,0.5,0.6037518744276077,0.6037851037851039,False
liar2_finance,1,11,3,emotion_aware,35,1-2,1,0.1,1.0,0.6006605630442563,0.6007326007326008,False
liar2_finance,1,11,3,emotion_aware,36,1-2,1,1.0,0.05,0.6500045680404971,0.6501831501831502,False
liar2_finance,1,11,3,emotion_aware,37,1-2,1,1.0,0.1,0.6469406324582339,0.647130647130647,False
liar2_finance,1,11,3,emotion_aware,38,1-2,1,1.0,0.25,0.6463586841617573,0.6465201465201464,False
liar2_finance,1,11,3,emotion_aware,39,1-2,1,1.0,0.5,0.6365244094141673,0.6367521367521367,False
liar2_finance,1,11,3,emotion_aware,40,1-2,1,1.0,1.0,0.6340579480418247,0.6343101343101343,False
liar2_finance,1,11,3,emotion_aware,41,1-2,1,10.0,0.05,0.6402508894149829,0.6404151404151404,False
liar2_finance,1,11,3,emotion_aware,42,1-2,1,10.0,0.1,0.6469601170579786,0.647130647130647,False
liar2_finance,1,11,3,emotion_aware,43,1-2,1,10.0,0.25,0.6463766170573332,0.6465201465201464,False
liar2_finance,1,11,3,emotion_aware,44,1-2,1,10.0,0.5,0.6445694190915924,0.6446886446886446,False
liar2_finance,1,11,3,emotion_aware,45,1-2,1,10.0,1.0,0.6433480081606356,0.6434676434676434,False
liar2_finance,1,11,3,emotion_aware,46,1-2,2,0.1,0.05,0.651382192610539,0.6514041514041514,False
liar2_finance,1,11,3,emotion_aware,47,1-2,2,0.1,0.1,0.6300344237928192,0.63003663003663,False
liar2_finance,1,11,3,emotion_aware,48,1-2,2,0.1,0.25,0.6135529695200561,0.6135531135531136,False
liar2_finance,1,11,3,emotion_aware,49,1-2,2,0.1,0.5,0.6135011106418462,0.6135531135531136,False
liar2_finance,1,11,3,emotion_aware,50,1-2,2,0.1,1.0,0.6153381642512077,0.6153846153846154,False
liar2_finance,1,11,3,emotion_aware,51,1-2,2,1.0,0.05,0.6532170412613216,0.6532356532356532,False
liar2_finance,1,11,3,emotion_aware,52,1-2,2,1.0,0.1,0.6556730356376127,0.6556776556776557,True
liar2_finance,1,11,3,emotion_aware,53,1-2,2,1.0,0.25,0.6470880300590445,0.647130647130647,False
liar2_finance,1,11,3,emotion_aware,54,1-2,2,1.0,0.5,0.6458758575034629,0.6459096459096458,False
liar2_finance,1,11,3,emotion_aware,55,1-2,2,1.0,1.0,0.6397272959080966,0.6398046398046398,False
liar2_finance,1,11,3,emotion_aware,56,1-2,2,10.0,0.05,0.6312570815194705,0.6312576312576312,False
liar2_finance,1,11,3,emotion_aware,57,1-2,2,10.0,0.1,0.6324698655972091,0.6324786324786325,False
liar2_finance,1,11,3,emotion_aware,58,1-2,2,10.0,0.25,0.6385491511069827,0.6385836385836385,False
liar2_finance,1,11,3,emotion_aware,59,1-2,2,10.0,0.5,0.6397783251231528,0.6398046398046398,False
liar2_finance,1,11,3,emotion_aware,60,1-2,2,10.0,1.0,0.6397783251231528,0.6398046398046398,False
liar2_finance,1,11,4,text_only,1,1-1,1,0.1,,0.6434655173184924,0.6434676434676435,False
liar2_finance,1,11,4,text_only,2,1-1,1,1.0,,0.6416328024512685,0.6416361416361416,False
liar2_finance,1,11,4,text_only,3,1-1,1,10.0,,0.6300344237928192,0.63003663003663,False
liar2_finance,1,11,4,text_only,4,1-1,2,0.1,,0.6385750173314747,0.6385836385836385,False
liar2_finance,1,11,4,text_only,5,1-1,2,1.0,,0.6367411701167702,0.6367521367521367,False
liar2_finance,1,11,4,text_only,6,1-1,2,10.0,,0.6342990939494879,0.6343101343101343,False
liar2_finance,1,11,4,text_only,7,1-2,1,0.1,,0.6503244703005548,0.6507936507936508,False
liar2_finance,1,11,4,text_only,8,1-2,1,1.0,,0.6528298732643061,0.6532356532356532,True
liar2_finance,1,11,4,text_only,9,1-2,1,10.0,,0.6473435449524798,0.6477411477411478,False
liar2_finance,1,11,4,text_only,10,1-2,2,0.1,,0.6434591387188873,0.6434676434676434,False
liar2_finance,1,11,4,text_only,11,1-2,2,1.0,,0.6470969752362095,0.647130647130647,False
liar2_finance,1,11,4,text_only,12,1-2,2,10.0,,0.644612349522902,0.6446886446886446,False
liar2_finance,1,11,4,emotion_aware,1,1-1,1,0.1,0.05,0.6605206655931293,0.6605616605616605,False
liar2_finance,1,11,4,emotion_aware,2,1-1,1,0.1,0.1,0.6501725890368224,0.6501831501831502,False
liar2_finance,1,11,4,emotion_aware,3,1-1,1,0.1,0.25,0.6275924067881513,0.6275946275946276,False
liar2_finance,1,11,4,emotion_aware,4,1-1,1,0.1,0.5,0.615819710427885,0.615995115995116,False
liar2_finance,1,11,4,emotion_aware,5,1-1,1,0.1,1.0,0.6066258949880668,0.6068376068376069,False
liar2_finance,1,11,4,emotion_aware,6,1-1,1,1.0,0.05,0.6538398319788147,0.6538461538461539,False
liar2_finance,1,11,4,emotion_aware,7,1-1,1,1.0,0.1,0.6617700555807352,0.6617826617826618,False
liar2_finance,1,11,4,emotion_aware,8,1-1,1,1.0,0.25,0.6580686814948238,0.6581196581196581,False
liar2_finance,1,11,4,emotion_aware,9,1-1,1,1.0,0.5,0.6506915809802182,0.6507936507936507,False
liar2_finance,1,11,4,emotion_aware,10,1-1,1,1.0,1.0,0.6573527147059515,0.6575091575091575,False
liar2_finance,1,11,4,emotion_aware,11,1-1,1,10.0,0.05,0.6373620967261018,0.6373626373626373,False
liar2_finance,1,11,4,emotion_aware,12,1-1,1,10.0,0.1,0.6318647016662946,0.6318681318681318,False
liar2_finance,1,11,4,emotion_aware,13,1-1,1,10.0,0.25,0.6263535726266354,0.6263736263736264,False
liar2_finance,1,11,4,emotion_aware,14,1-1,1,10.0,0.5,0.627580747119582,0.6275946275946276,False
liar2_finance,1,11,4,emotion_aware,15,1-1,1,10.0,1.0,0.6287957061388796,0.6288156288156288,False
liar2_finance,1,11,4,emotion_aware,16,1-1,2,0.1,0.05,0.6537376179207912,0.6538461538461537,False
liar2_finance,1,11,4,emotion_aware,17,1-1,2,0.1,0.1,0.6519892293562661,0.652014652014652,False
liar2_finance,1,11,4,emotion_aware,18,1-1,2,0.1,0.25,0.6306469929852037,0.6306471306471306,False
liar2_finance,1,11,4,emotion_aware,19,1-1,2,0.1,0.5,0.6219816322627333,0.6221001221001221,False
liar2_finance,1,11,4,emotion_aware,20,1-1,2,0.1,1.0,0.6102443609022556,0.6105006105006106,False
liar2_finance,1,11,4,emotion_aware,21,1-1,2,1.0,0.05,0.6550382265818155,0.6550671550671551,False
liar2_finance,1,11,4,emotion_aware,22,1-1,2,1.0,0.1,0.6654436703605031,0.6654456654456654,True
liar2_finance,1,11,4,emotion_aware,23,1-1,2,1.0,0.25,0.6568367529524037,0.6568986568986569,False
