dataset,repetition,seed,model,parameter_index,ngram_range,min_df,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,4,44,emotion_aware,5,1-1,1,0.1,1.0,0.6223056451218479,0.62255859375,False
liar2_finance,4,44,emotion_aware,6,1-1,1,1.0,0.05,0.65234375,0.65234375,False
liar2_finance,4,44,emotion_aware,7,1-1,1,1.0,0.1,0.6528279754092206,0.65283203125,False
liar2_finance,4,44,emotion_aware,8,1-1,1,1.0,0.25,0.6591328765241808,0.6591796875,False
liar2_finance,4,44,emotion_aware,9,1-1,1,1.0,0.5,0.6542493933798281,0.654296875,False
liar2_finance,4,44,emotion_aware,10,1-1,1,1.0,1.0,0.6562027866375693,0.65625,False
liar2_finance,4,44,emotion_aware,11,1-1,1,10.0,0.05,0.635740797961418,0.6357421875,False
liar2_finance,4,44,emotion_aware,12,1-1,1,10.0,0.1,0.6391580054641095,0.63916015625,False
liar2_finance,4,44,emotion_aware,13,1-1,1,10.0,0.25,0.6401325145943678,0.64013671875,False
liar2_finance,4,44,emotion_aware,14,1-1,1,10.0,0.5,0.6401297689703194,0.64013671875,False
liar2_finance,4,44,emotion_aware,15,1-1,1,10.0,1.0,0.6411063503299658,0.64111328125,False
liar2_finance,4,44,emotion_aware,16,1-1,2,0.1,0.05,0.6499015925203162,0.64990234375,False
liar2_finance,4,44,emotion_aware,17,1-1,2,0.1,0.1,0.6484160410181286,0.6484375,False
liar2_finance,4,44,emotion_aware,18,1-1,2,0.1,0.25,0.6352343386950985,0.63525390625,False
liar2_finance,4,44,emotion_aware,19,1-1,2,0.1,0.5,0.6341446719279294,0.63427734375,False
liar2_finance,4,44,emotion_aware,20,1-1,2,0.1,1.0,0.6242407150657353,0.62451171875,False
liar2_finance,4,44,emotion_aware,21,1-1,2,1.0,0.05,0.6528312863067571,0.65283203125,False
liar2_finance,4,44,emotion_aware,22,1-1,2,1.0,0.1,0.6484344824889587,0.6484375,False
liar2_finance,4,44,emotion_aware,23,1-1,2,1.0,0.25,0.659176762190685,0.6591796875,False
liar2_finance,4,44,emotion_aware,24,1-1,2,1.0,0.5,0.6640365476230217,0.6640625,False
liar2_finance,4,44,emotion_aware,25,1-1,2,1.0,1.0,0.6625795556068448,0.66259765625,False
liar2_finance,4,44,emotion_aware,26,1-1,2,10.0,0.05,0.6362262189590284,0.63623046875,False
liar2_finance,4,44,emotion_aware,27,1-1,2,10.0,0.1,0.6391600702190566,0.63916015625,False
liar2_finance,4,44,emotion_aware,28,1-1,2,10.0,0.25,0.6416012207042892,0.6416015625,False
liar2_finance,4,44,emotion_aware,29,1-1,2,10.0,0.5,0.6420897584175488,0.64208984375,False
liar2_finance,4,44,emotion_aware,30,1-1,2,10.0,1.0,0.6416012207042892,0.6416015625,False
liar2_finance,4,44,emotion_aware,31,1-2,1,0.1,0.05,0.6473126076316504,0.6474609375,False
liar2_finance,4,44,emotion_aware,32,1-2,1,0.1,0.1,0.621978021978022,0.6220703125,False
liar2_finance,4,44,emotion_aware,33,1-2,1,0.1,0.25,0.6146791222286474,0.61474609375,False
liar2_finance,4,44,emotion_aware,34,1-2,1,0.1,0.5,0.6106518673971841,0.61083984375,False
liar2_finance,4,44,emotion_aware,35,1-2,1,0.1,1.0,0.6027999693695203,0.60302734375,False
liar2_finance,4,44,emotion_aware,36,1-2,1,1.0,0.05,0.659324800319994,0.65966796875,False
liar2_finance,4,44,emotion_aware,37,1-2,1,1.0,0.1,0.6597587628216328,0.66015625,False
liar2_finance,4,44,emotion_aware,38,1-2,1,1.0,0.25,0.6616912382552899,0.662109375,False
liar2_finance,4,44,emotion_aware,39,1-2,1,1.0,0.5,0.6620425728044629,0.66259765625,False
liar2_finance,4,44,emotion_aware,40,1-2,1,1.0,1.0,0.6630471354139927,0.66357421875,False
liar2_finance,4,44,emotion_aware,41,1-2,1,10.0,0.05,0.663574501817001,0.6640625,False
liar2_finance,4,44,emotion_aware,42,1-2,1,10.0,0.1,0.6646245512183944,0.6650390625,True
liar2_finance,4,44,emotion_aware,43,1-2,1,10.0,0.25,0.663574501817001,0.6640625,False
liar2_finance,4,44,emotion_aware,44,1-2,1,10.0,0.5,0.6626213314080747,0.6630859375,False
