dataset,repetition,outer_seed,outer_fold,model,candidate_index,classifier,representation,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected,evaluation_stage
liar2_finance,2,22,0,emotion_aware,37,linear_svm,word,1.0,0.1,0.6342228387055853,0.63427734375,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,38,linear_svm,word,1.0,0.25,0.637152962828104,0.63720703125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,39,linear_svm,word,1.0,0.5,0.6356834702553493,0.6357421875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,40,linear_svm,word,1.0,1.0,0.6351904997525977,0.63525390625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,41,linear_svm,word,10.0,0.05,0.6147437974440899,0.61474609375,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,42,linear_svm,word,10.0,0.1,0.6152310725018049,0.615234375,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,43,linear_svm,word,10.0,0.25,0.6157152349791606,0.61572265625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,44,linear_svm,word,10.0,0.5,0.6162050812542916,0.6162109375,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,45,linear_svm,word,10.0,1.0,0.6162050812542916,0.6162109375,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,46,linear_svm,word_char,0.1,0.05,0.657218389949559,0.6572265625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,47,linear_svm,word_char,0.1,0.1,0.6586776534374787,0.65869140625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,48,linear_svm,word_char,0.1,0.25,0.6513339361129868,0.6513671875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,49,linear_svm,word_char,0.1,0.5,0.6517856482816231,0.65185546875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,50,linear_svm,word_char,0.1,1.0,0.6532009177506524,0.6533203125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,51,linear_svm,word_char,1.0,0.05,0.634753085242337,0.634765625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,52,linear_svm,word_char,1.0,0.1,0.6391407982539195,0.63916015625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,53,linear_svm,word_char,1.0,0.25,0.6415848137434705,0.6416015625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,54,linear_svm,word_char,1.0,0.5,0.6425614218804094,0.642578125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,55,linear_svm,word_char,1.0,1.0,0.6405972369920696,0.640625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,56,linear_svm,word_char,10.0,0.05,0.630316006542227,0.63037109375,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,57,linear_svm,word_char,10.0,0.1,0.6273446508228173,0.62744140625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,58,linear_svm,word_char,10.0,0.25,0.6273446508228173,0.62744140625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,59,linear_svm,word_char,10.0,0.5,0.6283328122693517,0.62841796875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,60,linear_svm,word_char,10.0,1.0,0.6293202062352762,0.62939453125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,1,logistic_regression,word,0.1,,0.643546188978886,0.6435546875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,2,logistic_regression,word,1.0,,0.645499360546125,0.6455078125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,3,logistic_regression,word,10.0,,0.6401359465655134,0.64013671875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,4,logistic_regression,word_char,0.1,,0.6528081086977515,0.65283203125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,5,logistic_regression,word_char,1.0,,0.6551784005715992,0.6552734375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,6,logistic_regression,word_char,10.0,,0.6479390622679078,0.64794921875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,7,linear_svm,word,0.1,,0.6464813407250085,0.646484375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,8,linear_svm,word,1.0,,0.6323094034884428,0.63232421875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,9,linear_svm,word,10.0,,0.6186449790580997,0.61865234375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,10,linear_svm,word_char,0.1,,0.657152995513907,0.6572265625,True,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,11,linear_svm,word_char,1.0,,0.6381793667766982,0.63818359375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,text_only,12,linear_svm,word_char,10.0,,0.627906976744186,0.6279296875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,1,logistic_regression,word,0.1,0.05,0.6483620466809303,0.6484375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,2,logistic_regression,word,0.1,0.1,0.6372000248913803,0.63720703125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,3,logistic_regression,word,0.1,0.25,0.6235199868387642,0.62353515625,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,4,logistic_regression,word,0.1,0.5,0.6171257917965065,0.6171875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,5,logistic_regression,word,0.1,1.0,0.6121415657334217,0.6123046875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,6,logistic_regression,word,1.0,0.05,0.6571938699598274,0.6572265625,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,7,logistic_regression,word,1.0,0.1,0.6586229567305113,0.65869140625,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,8,logistic_regression,word,1.0,0.25,0.6522787538869494,0.65234375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,9,logistic_regression,word,1.0,0.5,0.648845324601398,0.64892578125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,10,logistic_regression,word,1.0,1.0,0.649822110902924,0.64990234375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,11,logistic_regression,word,10.0,0.05,0.6391580054641095,0.63916015625,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,12,logistic_regression,word,10.0,0.1,0.6401057429726631,0.64013671875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,13,logistic_regression,word,10.0,0.25,0.6405670698497816,0.640625,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,14,logistic_regression,word,10.0,0.5,0.6420365030323016,0.64208984375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,15,logistic_regression,word,10.0,1.0,0.6425290338333817,0.642578125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,16,logistic_regression,word_char,0.1,0.05,0.6586405397265742,0.65869140625,True,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,17,logistic_regression,word_char,0.1,0.1,0.6576364013151321,0.65771484375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,18,logistic_regression,word_char,0.1,0.25,0.6518188600819816,0.65185546875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,19,logistic_regression,word_char,0.1,0.5,0.6443358778625954,0.64453125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,20,logistic_regression,word_char,0.1,1.0,0.6359074620404845,0.63623046875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,21,logistic_regression,word_char,1.0,0.05,0.6527802914815368,0.65283203125,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,22,logistic_regression,word_char,1.0,0.1,0.6542493933798281,0.654296875,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,23,logistic_regression,word_char,1.0,0.25,0.653729256109028,0.65380859375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,24,logistic_regression,word_char,1.0,0.5,0.6537484127504576,0.65380859375,False,rfc_complete_source_tuning
liar2_finance,3,33,0,emotion_aware,25,logistic_regression,word_char,1.0,1.0,0.6547159233311466,0.65478515625,False,rfc_complete_source_tuning
