dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,classifier,representation,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,4,44,5,emotion_aware,1640,408,linear_svm,word_char,0.1,0.1,0.6617647058823529,0.6617647058823529,0.65,0.7009803921568627,0.6745283018867925,0.661243742780131
liar2_finance,5,55,1,text_only,1638,410,logistic_regression,word_char,0.1,,0.6536585365853659,0.6536585365853658,0.6649214659685864,0.6195121951219512,0.6414141414141414,0.6532542405183914
liar2_finance,5,55,1,emotion_aware,1638,410,logistic_regression,word,1.0,0.05,0.6707317073170732,0.6707317073170731,0.6767676767676768,0.6536585365853659,0.6650124069478908,0.670635699876823
liar2_finance,5,55,2,text_only,1638,410,linear_svm,word_char,0.1,,0.6707317073170732,0.6707317073170731,0.6620370370370371,0.697560975609756,0.6793349168646081,0.670494526101477
liar2_finance,5,55,2,emotion_aware,1638,410,linear_svm,word_char,0.1,1.0,0.6707317073170732,0.6707317073170731,0.6620370370370371,0.697560975609756,0.6793349168646081,0.670494526101477
liar2_finance,5,55,3,text_only,1638,410,logistic_regression,word_char,0.1,,0.651219512195122,0.6512195121951219,0.6684782608695652,0.6,0.6323907455012854,0.6503021012889257
liar2_finance,5,55,3,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.6439024390243903,0.6439024390243903,0.6544502617801047,0.6097560975609756,0.6313131313131313,0.6434867543358109
liar2_finance,5,55,4,text_only,1638,410,linear_svm,word_char,0.1,,0.6804878048780488,0.6804878048780488,0.6796116504854369,0.6829268292682927,0.681265206812652,0.6804859041398224
liar2_finance,5,55,4,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.675609756097561,0.6756097560975609,0.6666666666666666,0.7024390243902439,0.684085510688836,0.6753760886777513
liar2_finance,5,55,5,text_only,1640,408,linear_svm,word,0.1,,0.6740196078431373,0.6740196078431373,0.6748768472906403,0.6715686274509803,0.6732186732186732,0.6740176495677719
liar2_finance,5,55,5,emotion_aware,1640,408,logistic_regression,word_char,0.1,0.1,0.6911764705882353,0.6911764705882353,0.7052631578947368,0.6568627450980392,0.6802030456852792,0.6908124233165733
liar2_finance,6,66,1,text_only,1638,410,logistic_regression,word_char,0.1,,0.651219512195122,0.6512195121951219,0.6631578947368421,0.6146341463414634,0.6379746835443038,0.6507520476545048
liar2_finance,6,66,1,emotion_aware,1638,410,linear_svm,word_char,0.1,1.0,0.624390243902439,0.624390243902439,0.6408839779005525,0.5658536585365853,0.6010362694300518,0.6230987798763162
liar2_finance,6,66,2,text_only,1638,410,logistic_regression,word,0.1,,0.6390243902439025,0.6390243902439025,0.6325581395348837,0.6634146341463415,0.6476190476190476,0.6388095238095238
liar2_finance,6,66,2,emotion_aware,1638,410,linear_svm,word,1.0,0.25,0.6536585365853659,0.6536585365853659,0.6451612903225806,0.6829268292682927,0.6635071090047393,0.6533615947033746
liar2_finance,6,66,3,text_only,1638,410,logistic_regression,word_char,0.1,,0.6439024390243903,0.6439024390243903,0.645320197044335,0.6390243902439025,0.6421568627450981,0.6438939653531316
liar2_finance,6,66,3,emotion_aware,1638,410,linear_svm,word,0.1,0.1,0.6439024390243903,0.6439024390243901,0.6577540106951871,0.6,0.6275510204081632,0.6432147625405302
liar2_finance,6,66,4,text_only,1638,410,logistic_regression,word,1.0,,0.6463414634146342,0.6463414634146342,0.6415094339622641,0.6634146341463415,0.6522781774580336,0.6462383443121433
liar2_finance,6,66,4,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.6268292682926829,0.6268292682926829,0.6262135922330098,0.6292682926829268,0.6277372262773723,0.6268270483465102
liar2_finance,6,66,5,text_only,1640,408,linear_svm,word,0.1,,0.6862745098039216,0.6862745098039216,0.69,0.6764705882352942,0.6831683168316832,0.6862443525905989
liar2_finance,6,66,5,emotion_aware,1640,408,linear_svm,word_char,0.1,0.25,0.6862745098039216,0.6862745098039216,0.7043010752688172,0.6421568627450981,0.6717948717948717,0.6856626941133983
liar2_finance,7,77,1,text_only,1638,410,logistic_regression,word_char,1.0,,0.6658536585365854,0.6658536585365853,0.6847826086956522,0.6146341463414634,0.6478149100257069,0.664974740395684
liar2_finance,7,77,1,emotion_aware,1638,410,linear_svm,word,0.1,0.05,0.6634146341463415,0.6634146341463414,0.6717948717948717,0.6390243902439025,0.655,0.6632142857142858
liar2_finance,7,77,2,text_only,1638,410,logistic_regression,word,1.0,,0.6463414634146342,0.6463414634146342,0.6470588235294118,0.6439024390243903,0.6454767726161369,0.6463393595440782
