dataset,model,scope,subset,manipulation_category,repetitions,rows,misleading_recall_mean,misleading_recall_std,misleading_recall_min,misleading_recall_max,mean_probability_mean,mean_probability_std,median_probability_mean
liar2_finance,text_only,subset_category,hard_case,causal,10,43,0.4767441860465116,0.012256890155691385,0.46511627906976744,0.4883720930232558,0.4840071548235002,0.01248164612485689,0.4913751922481081
liar2_finance,text_only,subset_category,hard_case,flipping,10,7,0.3571428571428571,0.07529232524210426,0.2857142857142857,0.42857142857142855,0.4448746109996602,0.034966213771409335,0.4566551677752663
liar2_finance,text_only,subset_category,hard_case,numerical,10,20,0.06,0.06582805886043834,0.0,0.15,0.3467306173348913,0.07341521641978278,0.3445266242061669
liar2_finance,text_only,subset_category,hard_case,sentiment,10,53,0.28867924528301886,0.046259561128134064,0.24528301886792453,0.33962264150943394,0.42702445499994024,0.04078877966951912,0.41514707293957986
liar2_finance,text_only,subset_category,main,causal,10,188,0.5148936170212766,0.01751643834784178,0.5,0.5425531914893617,0.5052659584996562,0.007038489260466238,0.5070255910007889
liar2_finance,text_only,subset_category,main,flipping,10,306,0.38529411764705884,0.040037681426906585,0.3627450980392157,0.46078431372549017,0.46116044616874696,0.025653527234590613,0.4484022549244454
liar2_finance,text_only,subset_category,main,numerical,10,353,0.3932011331444759,0.028666539695577378,0.37960339943342775,0.4475920679886686,0.46407469506551796,0.020043211340787445,0.4631722100399819
liar2_finance,text_only,subset_category,main,sentiment,10,153,0.4405228758169935,0.04715152653915042,0.39869281045751637,0.5098039215686274,0.47534213355491134,0.019410179101829572,0.47428694039155195
liar2_finance,text_only,subset_non_sentiment,hard_case,non_sentiment,10,70,0.34571428571428575,0.018808016817268097,0.32857142857142857,0.37142857142857144,0.4408720325872279,0.03180761902119968,0.4381812644369987
liar2_finance,text_only,subset_non_sentiment,main,non_sentiment,10,847,0.41735537190082644,0.029796644992470495,0.4002361275088548,0.4734356552538371,0.47216465653329365,0.0189046310368407,0.4648990314740403
