dataset,repetition,outer_seed,outer_fold,model,candidate_index,classifier,representation,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,3,text_only,2,logistic_regression,word,1.0,,0.6403989231148266,0.6404151404151404,False
liar2_finance,1,11,3,text_only,3,logistic_regression,word,10.0,,0.6202544667350492,0.6202686202686203,False
liar2_finance,1,11,3,text_only,4,logistic_regression,word_char,0.1,,0.6397912144271367,0.6398046398046398,False
liar2_finance,1,11,3,text_only,5,logistic_regression,word_char,1.0,,0.6452926673363164,0.6452991452991453,True
liar2_finance,1,11,3,text_only,6,logistic_regression,word_char,10.0,,0.6324517825832846,0.6324786324786325,False
liar2_finance,1,11,3,text_only,7,linear_svm,word,0.1,,0.6428186696138857,0.6428571428571428,False
liar2_finance,1,11,3,text_only,8,linear_svm,word,1.0,,0.6263647138629433,0.6263736263736264,False
liar2_finance,1,11,3,text_only,9,linear_svm,word,10.0,,0.6031030060837409,0.6031746031746033,False
liar2_finance,1,11,3,text_only,10,linear_svm,word_char,0.1,,0.6428271903546232,0.6428571428571428,False
liar2_finance,1,11,3,text_only,11,linear_svm,word_char,1.0,,0.6287802092450092,0.6288156288156288,False
liar2_finance,1,11,3,text_only,12,linear_svm,word_char,10.0,,0.6183618730929743,0.6184371184371185,False
liar2_finance,1,11,3,emotion_aware,1,logistic_regression,word,0.1,0.05,0.651382192610539,0.6514041514041514,False
liar2_finance,1,11,3,emotion_aware,2,logistic_regression,word,0.1,0.1,0.6300344237928192,0.63003663003663,False
liar2_finance,1,11,3,emotion_aware,3,logistic_regression,word,0.1,0.25,0.6135529695200561,0.6135531135531136,False
liar2_finance,1,11,3,emotion_aware,4,logistic_regression,word,0.1,0.5,0.6135011106418462,0.6135531135531136,False
liar2_finance,1,11,3,emotion_aware,5,logistic_regression,word,0.1,1.0,0.6153381642512077,0.6153846153846154,False
liar2_finance,1,11,3,emotion_aware,6,logistic_regression,word,1.0,0.05,0.6532170412613216,0.6532356532356532,False
liar2_finance,1,11,3,emotion_aware,7,logistic_regression,word,1.0,0.1,0.6556730356376127,0.6556776556776557,False
liar2_finance,1,11,3,emotion_aware,8,logistic_regression,word,1.0,0.25,0.6470880300590445,0.647130647130647,False
liar2_finance,1,11,3,emotion_aware,9,logistic_regression,word,1.0,0.5,0.6458758575034629,0.6459096459096458,False
liar2_finance,1,11,3,emotion_aware,10,logistic_regression,word,1.0,1.0,0.6397272959080966,0.6398046398046398,False
liar2_finance,1,11,3,emotion_aware,11,logistic_regression,word,10.0,0.05,0.6312570815194705,0.6312576312576312,False
liar2_finance,1,11,3,emotion_aware,12,logistic_regression,word,10.0,0.1,0.6324698655972091,0.6324786324786325,False
liar2_finance,1,11,3,emotion_aware,13,logistic_regression,word,10.0,0.25,0.6385491511069827,0.6385836385836385,False
liar2_finance,1,11,3,emotion_aware,14,logistic_regression,word,10.0,0.5,0.6397783251231528,0.6398046398046398,False
liar2_finance,1,11,3,emotion_aware,15,logistic_regression,word,10.0,1.0,0.6397783251231528,0.6398046398046398,False
liar2_finance,1,11,3,emotion_aware,16,logistic_regression,word_char,0.1,0.05,0.644612349522902,0.6446886446886446,False
liar2_finance,1,11,3,emotion_aware,17,logistic_regression,word_char,0.1,0.1,0.655659174773566,0.6556776556776557,False
liar2_finance,1,11,3,emotion_aware,18,logistic_regression,word_char,0.1,0.25,0.6513884297089405,0.6514041514041514,False
liar2_finance,1,11,3,emotion_aware,19,logistic_regression,word_char,0.1,0.5,0.6372972086365263,0.6373626373626373,False
liar2_finance,1,11,3,emotion_aware,20,logistic_regression,word_char,0.1,1.0,0.6317680809300921,0.6318681318681318,False
liar2_finance,1,11,3,emotion_aware,21,logistic_regression,word_char,1.0,0.05,0.6489243333811697,0.6489621489621489,False
liar2_finance,1,11,3,emotion_aware,22,logistic_regression,word_char,1.0,0.1,0.6513936271204634,0.6514041514041514,False
liar2_finance,1,11,3,emotion_aware,23,logistic_regression,word_char,1.0,0.25,0.6465200147742693,0.6465201465201466,False
liar2_finance,1,11,3,emotion_aware,24,logistic_regression,word_char,1.0,0.5,0.6483432601062997,0.6483516483516484,False
liar2_finance,1,11,3,emotion_aware,25,logistic_regression,word_char,1.0,1.0,0.646504204556001,0.6465201465201464,False
liar2_finance,1,11,3,emotion_aware,26,logistic_regression,word_char,10.0,0.05,0.6342936416736522,0.6343101343101343,False
liar2_finance,1,11,3,emotion_aware,27,logistic_regression,word_char,10.0,0.1,0.6342870987280436,0.6343101343101343,False
liar2_finance,1,11,3,emotion_aware,28,logistic_regression,word_char,10.0,0.25,0.6367509182697952,0.6367521367521367,False
liar2_finance,1,11,3,emotion_aware,29,logistic_regression,word_char,10.0,0.5,0.6361329566377685,0.6361416361416361,False
liar2_finance,1,11,3,emotion_aware,30,logistic_regression,word_char,10.0,1.0,0.6367411701167702,0.6367521367521367,False
liar2_finance,1,11,3,emotion_aware,31,linear_svm,word,0.1,0.05,0.6513884297089405,0.6514041514041514,False
liar2_finance,1,11,3,emotion_aware,32,linear_svm,word,0.1,0.1,0.6568940532417347,0.6568986568986569,True
liar2_finance,1,11,3,emotion_aware,33,linear_svm,word,0.1,0.25,0.647066980794465,0.647130647130647,False
liar2_finance,1,11,3,emotion_aware,34,linear_svm,word,0.1,0.5,0.6445847904379143,0.6446886446886446,False
liar2_finance,1,11,3,emotion_aware,35,linear_svm,word,0.1,1.0,0.6427739290543348,0.6428571428571428,False
liar2_finance,1,11,3,emotion_aware,36,linear_svm,word,1.0,0.05,0.6300167728950017,0.63003663003663,False
liar2_finance,1,11,3,emotion_aware,37,linear_svm,word,1.0,0.1,0.6349070275041149,0.6349206349206349,False
liar2_finance,1,11,3,emotion_aware,38,linear_svm,word,1.0,0.25,0.6324698655972091,0.6324786324786325,False
liar2_finance,1,11,3,emotion_aware,39,linear_svm,word,1.0,0.5,0.631248835250356,0.6312576312576312,False
liar2_finance,1,11,3,emotion_aware,40,linear_svm,word,1.0,1.0,0.6306359796985646,0.6306471306471306,False
liar2_finance,1,11,3,emotion_aware,41,linear_svm,word,10.0,0.05,0.6127948337447148,0.612942612942613,False
liar2_finance,1,11,3,emotion_aware,42,linear_svm,word,10.0,0.1,0.6121747009178007,0.6123321123321124,False
liar2_finance,1,11,3,emotion_aware,43,linear_svm,word,10.0,0.25,0.6103327208295052,0.6105006105006106,False
liar2_finance,1,11,3,emotion_aware,44,linear_svm,word,10.0,0.5,0.6091111933085945,0.6092796092796093,False
liar2_finance,1,11,3,emotion_aware,45,linear_svm,word,10.0,1.0,0.6097119156811105,0.6098901098901099,False
liar2_finance,1,11,3,emotion_aware,46,linear_svm,word_char,0.1,0.05,0.6458668813741277,0.6459096459096458,False
liar2_finance,1,11,3,emotion_aware,47,linear_svm,word_char,0.1,0.1,0.650780635003936,0.6507936507936508,False
liar2_finance,1,11,3,emotion_aware,48,linear_svm,word_char,0.1,0.25,0.651397784938101,0.6514041514041514,False
liar2_finance,1,11,3,emotion_aware,49,linear_svm,word_char,0.1,0.5,0.6471117074807111,0.647130647130647,False
liar2_finance,1,11,3,emotion_aware,50,linear_svm,word_char,0.1,1.0,0.6458837772397095,0.6459096459096458,False
liar2_finance,1,11,3,emotion_aware,51,linear_svm,word_char,1.0,0.05,0.6288150754368179,0.6288156288156288,False
liar2_finance,1,11,3,emotion_aware,52,linear_svm,word_char,1.0,0.1,0.6361280742348704,0.6361416361416361,False
liar2_finance,1,11,3,emotion_aware,53,linear_svm,word_char,1.0,0.25,0.6330780558658469,0.6330891330891331,False
liar2_finance,1,11,3,emotion_aware,54,linear_svm,word_char,1.0,0.5,0.6312438873118484,0.6312576312576312,False
liar2_finance,1,11,3,emotion_aware,55,linear_svm,word_char,1.0,1.0,0.6318614086123903,0.6318681318681318,False
liar2_finance,1,11,3,emotion_aware,56,linear_svm,word_char,10.0,0.05,0.6190016103059581,0.6190476190476191,False
