dataset,repetition,seed,fold,classifier,representation,C,affect_weight,model_variant,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,1,linear_svm,word_char,1.0,0.25,emotion_aware,0.6634146341463415,0.6634146341463415,0.6634146341463415,0.6634146341463415,0.6634146341463415,0.6634146341463415
liar2_finance,1,11,1,linear_svm,word_char,1.0,0.5,emotion_aware,0.6658536585365854,0.6658536585365854,0.6650485436893204,0.6682926829268293,0.6666666666666666,0.6658516707416462
liar2_finance,1,11,1,linear_svm,word_char,1.0,1.0,emotion_aware,0.6658536585365854,0.6658536585365854,0.6650485436893204,0.6682926829268293,0.6666666666666666,0.6658516707416462
liar2_finance,1,11,1,linear_svm,word_char,10.0,0.0,text_only,0.651219512195122,0.651219512195122,0.6448598130841121,0.6731707317073171,0.6587112171837709,0.6510513691903892
liar2_finance,1,11,1,linear_svm,word_char,10.0,0.05,emotion_aware,0.6414634146341464,0.6414634146341464,0.6342592592592593,0.6682926829268293,0.6508313539192399,0.6412051506438304
liar2_finance,1,11,1,linear_svm,word_char,10.0,0.1,emotion_aware,0.6414634146341464,0.6414634146341464,0.6342592592592593,0.6682926829268293,0.6508313539192399,0.6412051506438304
liar2_finance,1,11,1,linear_svm,word_char,10.0,0.25,emotion_aware,0.6341463414634146,0.6341463414634146,0.6267281105990783,0.6634146341463415,0.6445497630331753,0.6338326704613113
liar2_finance,1,11,1,linear_svm,word_char,10.0,0.5,emotion_aware,0.6390243902439025,0.6390243902439025,0.6325581395348837,0.6634146341463415,0.6476190476190476,0.6388095238095238
liar2_finance,1,11,1,linear_svm,word_char,10.0,1.0,emotion_aware,0.6390243902439025,0.6390243902439025,0.6325581395348837,0.6634146341463415,0.6476190476190476,0.6388095238095238
liar2_finance,1,11,2,logistic_regression,word,0.1,0.0,text_only,0.6170731707317073,0.6170731707317073,0.6111111111111112,0.6439024390243903,0.6270783847980997,0.6167973377624584
