dataset,repetition,outer_seed,outer_fold,model,parameter_index,ngram_range,min_df,C,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,5,emotion_aware,11,1-2,2,1.0,0.6503225619197206,0.650609756097561,False
liar2_finance,1,11,5,emotion_aware,12,1-2,2,10.0,0.647485481721249,0.6475609756097561,False
liar2_finance,2,22,1,text_only,1,1-1,1,0.1,0.6538398319788147,0.6538461538461539,False
liar2_finance,2,22,1,text_only,2,1-1,1,1.0,0.6452831482677661,0.6452991452991452,False
liar2_finance,2,22,1,text_only,3,1-1,1,10.0,0.6355277394606598,0.6355311355311355,False
liar2_finance,2,22,1,text_only,4,1-1,2,0.1,0.6519814461671962,0.652014652014652,False
liar2_finance,2,22,1,text_only,5,1-1,2,1.0,0.6507306453536921,0.6507936507936507,False
liar2_finance,2,22,1,text_only,6,1-1,2,10.0,0.6269828757358737,0.626984126984127,False
liar2_finance,2,22,1,text_only,7,1-2,1,0.1,0.6497590300750617,0.6501831501831502,False
liar2_finance,2,22,1,text_only,8,1-2,1,1.0,0.6547324453457879,0.6550671550671551,False
liar2_finance,2,22,1,text_only,9,1-2,1,10.0,0.6523627769888987,0.6526251526251526,False
liar2_finance,2,22,1,text_only,10,1-2,2,0.1,0.6537995730393789,0.6538461538461539,False
liar2_finance,2,22,1,text_only,11,1-2,2,1.0,0.6599408937059512,0.6599511599511599,True
liar2_finance,2,22,1,text_only,12,1-2,2,10.0,0.6507186665414089,0.6507936507936507,False
liar2_finance,2,22,1,emotion_aware,1,1-1,1,0.1,0.6133765925291752,0.6135531135531136,False
liar2_finance,2,22,1,emotion_aware,2,1-1,1,1.0,0.662781954887218,0.663003663003663,False
liar2_finance,2,22,1,emotion_aware,3,1-1,1,10.0,0.6422274404562227,0.6422466422466422,False
liar2_finance,2,22,1,emotion_aware,4,1-1,2,0.1,0.6188834134758797,0.6190476190476191,False
liar2_finance,2,22,1,emotion_aware,5,1-1,2,1.0,0.6628025795056693,0.663003663003663,False
liar2_finance,2,22,1,emotion_aware,6,1-1,2,10.0,0.640999415546464,0.641025641025641,False
liar2_finance,2,22,1,emotion_aware,7,1-2,1,0.1,0.5980263157894736,0.5982905982905983,False
liar2_finance,2,22,1,emotion_aware,8,1-2,1,1.0,0.6549734684609317,0.6556776556776557,False
liar2_finance,2,22,1,emotion_aware,9,1-2,1,10.0,0.6642393652948549,0.6648351648351649,True
liar2_finance,2,22,1,emotion_aware,10,1-2,2,0.1,0.6127555609251876,0.612942612942613,False
liar2_finance,2,22,1,emotion_aware,11,1-2,2,1.0,0.658516209852974,0.6587301587301587,False
liar2_finance,2,22,1,emotion_aware,12,1-2,2,10.0,0.6531730883931767,0.6532356532356531,False
liar2_finance,2,22,2,text_only,1,1-1,1,0.1,0.6416253224513346,0.6416361416361416,False
liar2_finance,2,22,2,text_only,2,1-1,1,1.0,0.6440769501702364,0.6440781440781441,False
liar2_finance,2,22,2,text_only,3,1-1,1,10.0,0.6397998067840275,0.6398046398046398,False
liar2_finance,2,22,2,text_only,4,1-1,2,0.1,0.6397702688397293,0.6398046398046398,False
liar2_finance,2,22,2,text_only,5,1-1,2,1.0,0.639190777255025,0.6391941391941391,False
liar2_finance,2,22,2,text_only,6,1-1,2,10.0,0.6159537490378362,0.615995115995116,False
liar2_finance,2,22,2,text_only,7,1-2,1,0.1,0.6500578095457896,0.6501831501831501,False
liar2_finance,2,22,2,text_only,8,1-2,1,1.0,0.6504679647116407,0.6507936507936508,False
liar2_finance,2,22,2,text_only,9,1-2,1,10.0,0.6511637534755959,0.6514041514041514,True
liar2_finance,2,22,2,text_only,10,1-2,2,0.1,0.650785320800006,0.6507936507936508,False
liar2_finance,2,22,2,text_only,11,1-2,2,1.0,0.6489609714371971,0.648962148962149,False
liar2_finance,2,22,2,text_only,12,1-2,2,10.0,0.6440769501702364,0.6440781440781441,False
liar2_finance,2,22,2,emotion_aware,1,1-1,1,0.1,0.6066258949880668,0.6068376068376069,False
liar2_finance,2,22,2,emotion_aware,2,1-1,1,1.0,0.6367509182697952,0.6367521367521367,False
liar2_finance,2,22,2,emotion_aware,3,1-1,1,10.0,0.6428570097460234,0.6428571428571429,False
liar2_finance,2,22,2,emotion_aware,4,1-1,2,0.1,0.607847553699284,0.6080586080586081,False
liar2_finance,2,22,2,emotion_aware,5,1-1,2,1.0,0.6367509182697952,0.6367521367521367,False
liar2_finance,2,22,2,emotion_aware,6,1-1,2,10.0,0.6214439076757917,0.6214896214896215,False
liar2_finance,2,22,2,emotion_aware,7,1-2,1,0.1,0.5937104511381679,0.594017094017094,False
liar2_finance,2,22,2,emotion_aware,8,1-2,1,1.0,0.6422938615860199,0.6428571428571428,False
liar2_finance,2,22,2,emotion_aware,9,1-2,1,10.0,0.6488018020604671,0.6489621489621489,True
liar2_finance,2,22,2,emotion_aware,10,1-2,2,0.1,0.6011169771805052,0.6013431013431013,False
liar2_finance,2,22,2,emotion_aware,11,1-2,2,1.0,0.6446695739684669,0.6446886446886446,False
liar2_finance,2,22,2,emotion_aware,12,1-2,2,10.0,0.6446754013501586,0.6446886446886446,False
liar2_finance,2,22,3,text_only,1,1-1,1,0.1,0.6190385317818247,0.6190476190476191,False
liar2_finance,2,22,3,text_only,2,1-1,1,1.0,0.6347812469705669,0.6349206349206349,False
liar2_finance,2,22,3,text_only,3,1-1,1,10.0,0.6156224922522135,0.615995115995116,False
liar2_finance,2,22,3,text_only,4,1-1,2,0.1,0.6214873642764817,0.6214896214896215,False
liar2_finance,2,22,3,text_only,5,1-1,2,1.0,0.6318449424591157,0.6318681318681318,False
liar2_finance,2,22,3,text_only,6,1-1,2,10.0,0.615255556748631,0.6153846153846154,False
liar2_finance,2,22,3,text_only,7,1-2,1,0.1,0.6321358649587546,0.6324786324786325,False
liar2_finance,2,22,3,text_only,8,1-2,1,1.0,0.6400092685910062,0.6404151404151404,False
liar2_finance,2,22,3,text_only,9,1-2,1,10.0,0.6325455614344504,0.6330891330891331,False
liar2_finance,2,22,3,text_only,10,1-2,2,0.1,0.6251073537305422,0.6251526251526252,False
liar2_finance,2,22,3,text_only,11,1-2,2,1.0,0.6403667522402012,0.6404151404151404,True
liar2_finance,2,22,3,text_only,12,1-2,2,10.0,0.6322368421052632,0.6324786324786325,False
liar2_finance,2,22,3,emotion_aware,1,1-1,1,0.1,0.6136452189334802,0.6141636141636142,False
