dataset,repetition,seed,model,classifier,representation,C,affect_weight,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall
liar2_finance,5,55,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,main,causal,188,83,105,0.44148936170212766
liar2_finance,5,55,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,main,flipping,306,144,162,0.47058823529411764
liar2_finance,5,55,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,main,numerical,353,128,225,0.3626062322946176
liar2_finance,5,55,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,main,sentiment,153,57,96,0.37254901960784315
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,overall,all,all,1123,541,582,0.4817453250222618
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,overall_non_sentiment,all,non_sentiment,917,449,468,0.48964013086150493
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset,hard_case,all,123,44,79,0.35772357723577236
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,hard_case,non_sentiment,70,27,43,0.38571428571428573
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset,main,all,1000,497,503,0.497
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,main,non_sentiment,847,422,425,0.4982290436835891
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,category,all,causal,231,126,105,0.5454545454545454
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,category,all,flipping,313,145,168,0.46325878594249204
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,category,all,numerical,373,178,195,0.4772117962466488
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,category,all,sentiment,206,92,114,0.44660194174757284
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,causal,43,20,23,0.46511627906976744
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,flipping,7,3,4,0.42857142857142855
liar2_finance,6,66,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,numerical,20,4,16,0.2
