dataset,repetition,seed,model,best_epoch,epoch,train_loss,validation_loss,validation_macro_f1,validation_balanced_accuracy
factors_finance,8,88,text_only,4,2,0.5980128138259267,0.6484737350390508,0.5960044395116537,0.5961538461538461
factors_finance,8,88,text_only,4,3,0.48761199592973625,0.6718993805921994,0.6101949025487257,0.6153846153846154
factors_finance,8,88,text_only,4,4,0.4179026886606901,0.6782663991818061,0.6148148148148148,0.6153846153846154
factors_finance,8,88,text_only,4,5,0.34651810002098815,0.6861363167946155,0.6148148148148148,0.6153846153846154
factors_finance,8,88,emotion_aware,3,1,0.7166234899365731,0.6634104343561026,0.5960044395116537,0.5961538461538461
factors_finance,8,88,emotion_aware,3,2,0.6147257568733544,0.6463106366304251,0.6344802071772104,0.6346153846153846
factors_finance,8,88,emotion_aware,3,3,0.5155085034347607,0.6556626787552466,0.6904761904761905,0.6923076923076923
factors_finance,8,88,emotion_aware,3,4,0.4314003990312512,0.6589720707673293,0.6538461538461539,0.6538461538461539
factors_finance,8,88,emotion_aware,3,5,0.37409368542392857,0.6612365566767179,0.6538461538461539,0.6538461538461539
factors_finance,9,99,text_only,2,1,0.7041013200887652,0.638437060209421,0.6512820512820513,0.6730769230769231
factors_finance,9,99,text_only,2,2,0.5820491139968617,0.6163822550040025,0.6729559748427673,0.6730769230769231
factors_finance,9,99,text_only,2,3,0.45255030513380134,0.6625776474292462,0.6312056737588652,0.6346153846153846
factors_finance,9,99,text_only,2,4,0.33039361794599503,0.6968336059496953,0.6130952380952381,0.6153846153846154
factors_finance,9,99,emotion_aware,1,1,0.6799931437775278,0.6496273645987878,0.6405529953917051,0.6538461538461539
factors_finance,9,99,emotion_aware,1,2,0.5980800612691487,0.6598602670889634,0.6153846153846154,0.6153846153846154
factors_finance,9,99,emotion_aware,1,3,0.4722245463914278,0.6901967112834637,0.5744047619047619,0.5769230769230769
factors_finance,10,110,text_only,2,1,0.7102128516829185,0.6039266127806443,0.7114317425083241,0.7115384615384615
factors_finance,10,110,text_only,2,2,0.6013942030057953,0.5669840299166166,0.7303703703703703,0.7307692307692308
factors_finance,10,110,text_only,2,3,0.4965295301099713,0.5816639340840853,0.7271364317841079,0.7307692307692308
factors_finance,10,110,text_only,2,4,0.40346483893371654,0.5539275407791138,0.7105751391465678,0.7115384615384616
factors_finance,10,110,emotion_aware,1,1,0.7120184459184346,0.5978428217080923,0.7678571428571428,0.7692307692307692
factors_finance,10,110,emotion_aware,1,2,0.6171564407040628,0.5826828021269578,0.7291666666666667,0.7307692307692308
factors_finance,10,110,emotion_aware,1,3,0.5142429928745379,0.602612302853511,0.6629813191002669,0.6730769230769231
